,0
TRAIN ACCURACY SCORE_BERNOULLI,0.7875408052230686
TEST ACCURACY SCORE_BERNOULLI,0.7570410587037666
TRAIN ACCURACY SCORE_GAUSSIAN,0.6670293797606094
TEST ACCURACY SCORE_GAUSSIAN,0.6670293797606094
TRAIN ACCURACY SCORE_DECISION_TREE,1.0
TEST ACCURACY SCORE_DECISION_TREE,1.0
TRAIN ACCURACY SCORE_RANDOM_FOREST,0.998642687478792
TEST ACCURACY SCORE_RANDOM_FOREST,0.998642687478792
TRAIN ACCURACY SCORE_KNN,0.9791893362350381
TEST ACCURACY SCORE_KNN,0.9735324058364438
TRAIN ACCURACY SCORE_SVM,0.9774211099020674
TEST ACCURACY SCORE_SVM,0.9776043434000679
TRAIN ACCURACY SCORE_MLP,0.9581066376496191
TEST ACCURACY SCORE_MLP,0.9596199524940617
